date,day,day_of_week,day_of_year,week_of_year,month,quarter,year,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2019-05-27,27,0,147,22,5,2,2019,949.9,942.2,952.14,944.93,966.0,994.74,1022.06,1023.21,1018.49,1019.45,996.84,1000.09,1019.1,1011.03,1008.73,1015.5,1018.25,1018.05,1016.32,1002.86,988.36,968.73,959.29,954.61
2019-05-28,28,1,148,22,5,2,2019,939.46,922.12,951.1,959.74,978.85,1012.07,1036.79,1032.07,1028.96,1030.6,1019.42,1023.98,1026.43,1005.31,1022.81,1023.57,1028.32,1030.31,1031.98,1015.04,1010.32,991.28,975.88,965.94
2019-05-29,29,2,149,22,5,2,2019,888.66,882.83,888.74,869.63,896.05,922.31,942.32,951.42,955.59,957.69,950.03,955.27,944.9,945.88,947.64,946.52,944.87,951.75,1000.68,943.54,924.11,895.99,888.63,883.82
2019-05-30,30,3,150,22,5,2,2019,878.66,877.58,876.16,864.11,885.54,916.66,961.02,994.01,1010.64,1016.73,1011.23,969.29,1005.02,959.95,957.77,956.96,1006.1,1007.45,972.48,940.73,926.19,897.54,886.81,879.79
2019-05-31,31,4,151,22,5,2,2019,839.33,839.42,836.51,827.85,849.51,876.11,969.67,984.25,1015.48,1007.79,1005.81,1012.2,1005.63,984.3,952.7,950.0,949.34,999.01,996.77,934.23,915.65,857.65,850.85,842.15
2019-06-01,1,5,152,22,6,2,2019,869.57,870.33,868.2,862.93,879.29,891.51,904.85,964.47,962.65,959.7,957.3,954.38,955.06,956.19,956.31,948.39,958.36,1011.06,1008.61,933.02,954.36,877.37,865.16,863.81
2019-06-02,2,6,153,22,6,2,2019,868.81,867.67,869.29,854.96,869.36,887.15,905.01,927.39,963.93,965.26,962.2,960.58,962.05,964.93,971.95,956.37,968.4,976.48,974.84,941.99,910.53,882.19,872.1,872.02
2019-06-03,3,0,154,23,6,2,2019,931.15,904.63,908.99,928.4,953.62,987.08,1008.27,1022.53,1017.79,1018.32,1015.06,1013.84,1011.8,1009.93,1011.76,1007.31,1013.07,1015.95,1008.0,982.54,946.08,921.49,924.41,921.99
2019-06-04,4,1,155,23,6,2,2019,935.89,930.18,944.69,933.77,964.53,994.65,1006.86,1026.17,1028.32,1028.61,1027.11,1025.88,1023.43,1023.11,1021.25,1025.27,1029.97,1039.06,1030.23,1003.93,996.45,977.64,952.09,946.89
2019-06-05,5,2,156,23,6,2,2019,924.11,916.75,921.96,910.01,942.94,980.14,996.82,1013.94,1011.51,1011.91,1009.27,1010.02,1011.11,1009.03,1011.45,1004.71,1008.78,1013.8,1000.24,984.51,984.93,967.16,964.27,923.36
2019-06-06,6,3,157,23,6,2,2019,903.24,890.41,882.39,877.05,914.47,937.67,992.4,1006.63,1010.31,995.59,986.6,992.12,984.66,983.71,984.1,1000.75,1006.86,993.67,1000.11,977.94,962.43,915.14,906.55,910.48
2019-06-07,7,4,158,23,6,2,2019,974.2,937.73,976.7,935.41,994.34,1039.35,1074.0,1100.96,1110.32,1111.67,1110.58,1109.52,1103.07,1105.35,1104.17,1084.6,1076.72,1109.31,1108.87,1073.51,1063.24,1051.01,1041.0,1028.76
2019-06-08,8,5,159,23,6,2,2019,999.86,982.18,977.47,895.87,984.92,1017.37,1032.74,1050.55,1082.36,1084.9,1077.85,1072.59,1070.02,1071.4,1069.01,1068.66,1074.84,1079.88,1059.17,1046.52,1038.12,1022.0,992.24,982.31
2019-06-09,9,6,160,23,6,2,2019,941.53,931.58,933.59,846.79,926.4,959.03,969.42,973.39,993.24,1021.82,1020.98,1017.71,1016.85,1024.8,1032.24,1021.89,1025.32,1030.87,1025.76,999.65,1002.97,991.52,977.74,975.92
2019-06-10,10,0,161,24,6,2,2019,984.94,960.06,983.25,978.38,960.45,1029.93,1047.91,1071.79,1071.04,1074.06,1070.42,1071.99,1068.5,1063.88,1065.25,1067.47,1068.28,1071.69,1066.77,1042.79,1031.07,1005.65,1001.6,957.22
2019-06-11,11,1,162,24,6,2,2019,854.39,895.7,913.33,919.33,940.84,970.92,994.18,1013.58,1019.89,1015.93,1009.05,1010.37,1004.76,999.33,1000.47,999.28,1002.36,1016.59,1023.42,1005.28,1008.02,966.49,948.06,935.99
2019-06-12,12,2,163,24,6,2,2019,959.83,938.38,928.59,914.32,932.49,956.77,984.38,1011.09,1035.95,1038.87,1032.74,1021.12,1030.21,1029.87,1030.14,1027.59,1037.08,1040.29,1038.65,1023.01,1024.04,1006.76,982.24,972.61
2019-06-13,13,3,164,24,6,2,2019,981.55,965.95,968.96,964.25,989.58,1027.94,1048.75,1064.74,1067.31,1068.84,1063.75,1064.29,1061.74,1041.94,1055.55,1048.95,1049.74,1051.93,1051.45,1031.89,1031.34,1017.42,1006.16,985.44
2019-06-14,14,4,165,24,6,2,2019,934.53,941.36,938.35,928.25,959.82,997.51,1018.17,1034.88,1033.19,1038.0,1033.08,1031.7,1031.28,1028.66,1027.59,1023.66,1024.04,1028.05,1026.89,1011.35,1011.77,995.93,989.52,982.59
2019-06-15,15,5,166,24,6,2,2019,950.73,935.59,935.04,919.24,933.25,961.43,971.21,982.6,1001.88,991.06,989.86,989.26,988.26,988.69,990.67,987.64,989.92,989.62,989.76,974.77,975.9,961.83,932.48,935.22
2019-06-16,16,6,167,24,6,2,2019,952.35,930.77,941.31,924.62,934.57,962.04,975.32,977.85,993.1,993.82,991.11,1002.0,994.05,1002.88,1003.22,1001.02,1005.95,1007.7,1003.9,988.16,986.27,973.07,968.97,966.31
